KIND,ID,DSC,EXTRA1
LINE_THSR,0990,南港,0.000
LINE_THSR,1000,台北,52.811
LINE_THSR,1010,板橋,94.225
LINE_THSR,1020,桃園,261.606
LINE_THSR,1030,新竹,433.171
LINE_THSR,1035,苗栗,620.76
LINE_THSR,1040,台中,970.088
LINE_THSR,1043,彰化,1131.661
LINE_THSR,1047,雲林,1272.809
LINE_THSR,1050,嘉義,1462.802
LINE_THSR,1060,台南,1820.205
LINE_THSR,1070,左營,2000
